city_key,geo_name,province,lon,lat,level,treat,post,treat_post,year,pm25,gdp,population,secondary_pct,tertiary_pct,fiscal_revenue,loan,wage,primary_teacher_per_10k,higher_teacher_per_10k,primary_student_per_10k,higher_student_per_10k,primary_school_count,higher_school_count,gdp_pc,ln_pm25,ln_gdp_pc,ln_fiscal,ln_pop,rel_year
丽江,丽江市,云南,100.524919,26.939309,city,0,0,0,2010,22.200000762939453,143.5885,1.2044,38.34,43.54,16.4511,147.3745,29440.13,112.8197,6.36,1324.3109,132.0159,611.0,2.0,119.21994354035206,3.1000923232448754,4.780970052216363,2.8003923442766405,0.18598151762544166,-4
乌兰察布,乌兰察布市,内蒙古自治区,112.443087,41.696874,city,0,0,0,2010,34.10000228881836,567.6016,2.8702,52.28,31.17,17.3344,268.6084,30988.16,65.9118,4.1739,668.9429,66.1975,303.0,3.0,197.7568113720298,3.5292974514102418,5.28703805041376,2.8526929664814427,1.0543817137546945,-4
乌海,乌海市,内蒙古自治区,106.874373,39.426964,city,0,0,0,2010,46.900001525878906,391.1235,0.53,71.72,27.33,33.6631,192.2784,39853.09,82.283,3.9245,924.5283,75.0,53.0,1.0,737.9688679245282,3.8480177079869646,6.603901639326578,3.516402281966989,-0.6348782724359695,-4
乌鲁木齐,乌鲁木齐市,新疆维吾尔自治区,87.783748,43.739398,city,0,0,0,2010,51.29999923706055,1338.5172,2.4303,44.86,53.65,147.9938,1242.8526,40648.78,88.845,37.9377,1482.533,555.1496,292.0,18.0,550.7621281323294,3.9376907373046097,6.3113030065608795,4.997170380994733,0.8880147065224182,-4
乐东黎族自治县,乐东黎族自治县,海南,109.029671,18.639822,city,0,0,0,2010,22.200000762939453,,,,,,,,,,,,,,,3.1000923232448754,,,,-4
乐山,乐山市,四川,103.571823,29.214311,city,0,0,0,2010,55.20000076293945,743.915,3.5335,59.48,27.07,45.7695,522.3692,27199.55,64.5168,5.8101,965.3318,104.0866,727.0,3.0,210.5320503749823,4.010962967104416,5.349637899845771,3.8236179304197333,1.262288881148772,-4
九江,九江市,江西,115.458122,29.320395,city,0,0,0,2010,52.400001525878906,1032.0647,4.9791,56.17,34.33,71.0634,580.8405,24746.15,77.1907,9.1804,1471.9528,164.7567,1639.0,7.0,207.27936775722517,3.9589066204468226,5.334067486062137,4.263572436338207,1.6052491518126457,-4
云浮,云浮市,广东,111.798791,22.813664,city,0,0,0,2010,38.20000076293945,400.9741,2.8276,41.18,33.7,23.5424,343.921,24764.75,82.1474,1.305,1437.2613,23.2954,869.0,1.0,141.8072216720894,3.642835535584766,4.9544685413773,3.1588030507558083,1.0394282953146619,-4
五家渠,五家渠市,新疆维吾尔自治区,87.557631,44.362095,city,0,0,0,2010,51.20000076293945,,,,,,,,,,,,,,,3.935739546946623,,,,-4
五指山,五指山市,海南,109.511892,18.824035,city,0,0,0,2010,21.80000114440918,,,,,,,,,,,,,,,3.081910022290876,,,,-4
亳州,亳州市,安徽,116.185025,33.435253,city,1,0,0,2010,73.4000015258789,512.78,6.0076,37.36,35.9,23.298,368.5952,26779.46,68.0072,0.9871,1332.6453,16.1828,1709.0,2.0,85.35521672548106,4.295923956409011,4.446821568936529,3.1483675199775853,1.7930253343492886,-4
仙桃,仙桃市,湖北,113.381345,30.287564,city,0,0,0,2010,75.70000457763672,,,,,,,,,,,,,,,4.326778220914163,,,,-4
伊春,伊春市,黑龙江,129.224747,47.830729,city,0,0,0,2010,31.399999618530273,202.4407,1.2695,39.25,30.41,8.3204,237.7008,15986.25,82.497,1.6542,840.4884,16.1245,186.0,1.0,159.46490744387552,3.44680788076549,5.071823881991964,2.118710330600536,0.23862312216259612,-4
伊犁哈萨克自治,伊犁哈萨克自治州,新疆维吾尔自治区,82.213264,43.349079,city,0,0,0,2010,47.900001525878906,,,,,,,,,,,,,,,3.8691155362723784,,,,-4
佛山,佛山市,广东,112.949778,23.004314,city,1,0,0,2010,47.400001525878906,5651.5223,3.7089,62.68,35.45,306.0545,4460.8183,37081.73,109.2292,3.8799,2053.439,106.9724,603.0,3.0,1523.7731672463533,3.8586222608925684,7.328944884779229,5.723763190668808,1.310735336698854,-4
佳木斯,佳木斯市,黑龙江,132.204856,47.248466,city,0,0,0,2010,41.5,512.4563,2.5378,26.13,45.3,20.8509,443.2124,27032.99,90.3854,5.5915,1163.6063,120.9946,543.0,3.0,201.9293482543936,3.7256934272366524,5.307917875103656,3.0373971127808344,0.9312975639806771,-4
保亭黎族苗族自治县,保亭黎族苗族自治县,海南,109.650759,18.589686,city,0,0,0,2010,20.700000762939453,,,,,,,,,,,,,,,3.0301337371283013,,,,-4
保定,保定市,河北,115.177642,39.025137,city,1,0,0,2010,78.80000305175781,2050.3,11.6101,51.6,33.59,91.0313,2018.9284,28090.88,70.1484,7.658,1126.9498,140.0849,2651.0,14.0,176.59623948114145,4.366913035591724,5.173865993951868,4.5112034034214865,2.4518754089371333,-4
保山,保山市,云南,98.971932,24.97507,city,0,0,0,2010,29.700000762939453,260.8992,2.527,30.87,38.85,21.3778,191.7215,22694.62,86.391,2.0063,1496.6363,34.7487,1372.0,3.0,103.24463791056588,3.391147071496851,4.637101297422994,3.062353000395886,0.9270328284060573,-4
信阳,信阳市,河南,114.889128,32.080437,city,0,0,0,2010,69.70000457763672,1091.8323,8.7022,42.21,31.41,34.0956,784.0988,24705.98,87.8939,3.3371,1690.2622,61.6534,2825.0,4.0,125.4662384224679,4.244200383442756,4.832036705826354,3.5291683437060284,2.163575867256626,-4
儋州,儋州市,海南,109.390059,19.579264,city,0,0,0,2010,28.399999618530273,,,,,,,,,,,,,,,3.3463891317351275,,,,-4
克孜勒苏柯尔克孜自治,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,75.956625,39.672168,city,0,0,0,2010,75.4000015258789,,,,,,,,,,,,,,,4.322807295251031,,,,-4
克拉玛依,克拉玛依市,新疆维吾尔自治区,85.224171,45.567128,city,0,0,0,2010,44.29999923706055,711.3531,0.3751,89.75,9.76,42.4303,195.596,38576.31,108.7443,7.358,1319.6481,99.4935,49.0,1.0,1896.4358837643297,3.7909846598289803,7.54773155289299,3.747862729658246,-0.9805626218942954,-4
六安,六安市,安徽,116.23409,31.659225,city,1,0,0,2010,61.29999923706055,676.1209,7.0482,42.26,34.18,42.7011,472.2947,27084.43,66.2935,2.4361,1211.7988,48.6138,2247.0,5.0,95.92816605658183,4.115779830496171,4.5635996411299855,3.7542246810268884,1.9527722650757582,-4
六盘水,六盘水市,贵州,104.89694,26.128029,city,0,0,0,2010,38.0,500.6319,3.192,60.57,33.6,49.3083,229.5717,33983.01,78.6529,2.1053,1883.4586,31.6635,1118.0,2.0,156.8395676691729,3.6375861597263857,5.055223420911616,3.898092423876167,1.1606476795875624,-4
兰州,兰州市,甘肃,103.644112,36.355083,city,0,0,0,2010,51.5,1100.3898,3.2354,48.09,48.84,72.7579,1295.9451,33963.82,87.0372,48.0312,1288.8669,857.3314,916.0,25.0,340.10935278481793,3.9415818076696905,5.829267191737404,4.287137491221311,1.1741525679134566,-4
兴安,兴安盟,内蒙古自治区,121.341355,46.241397,city,0,0,0,2010,30.700000762939453,,,,,,,,,,,,,,,3.424262679444599,,,,-4
内江,内江市,四川,104.913978,29.638381,city,0,0,0,2010,71.9000015258789,690.2791,4.2553,60.78,22.94,20.3856,437.7834,26496.95,59.8148,2.8788,1005.8045,49.3502,566.0,2.0,162.21631847343312,4.275276285949238,5.088930743731935,3.0148287692449793,1.4481652648278531,-4
凉山彝族自治,凉山彝族自治州,四川,102.08054,27.889541,city,0,0,0,2010,25.5,,,,,,,,,,,,,,,3.2386784521643803,,,,-4
包头,包头市,内蒙古自治区,110.266038,41.559669,city,0,0,0,2010,34.60000228881836,2460.81,2.198,54.11,43.19,139.183,750.7459,41398.28,81.2011,19.5769,1264.3312,384.4495,281.0,8.0,1119.5677888989992,3.543853748214496,7.020697987040754,4.935789614005497,0.7875478559814296,-4
北京,北京市,北京,116.41995,40.18994,province,1,0,0,2010,77.0,14113.58,12.578,24.01,75.11,2353.9301,16874.2848,65682.17,78.9895,46.4168,923.5173,459.3958,1738.0,89.0,1122.0845921450152,4.343805421853684,7.022943477309293,7.763841593241704,2.5319492561213117,-4
