year,n_city,mean_pm25,treat_mean
2010,366,50.889891660930026,59.23968390812949
2011,366,53.886886205829555,62.358731345524866
2012,366,52.006011806550575,59.758731236533514
2013,366,56.88688616935021,67.93968327840169
2014,366,53.61502832402297,63.40317602006216
2015,366,46.284427085209416,53.396826274811275
2016,366,43.22076572355677,48.50000069633363
2017,366,40.9087439625641,47.54285806322854
2018,366,36.83879842393385,42.04127039228167
2019,366,34.62704973794072,39.33968326023647
