variable,n,mean,std,min,p50,max
PM2.5（µg/m³）,3660,46.91644890998882,19.015164492192326,12.800000190734863,43.10000228881836,142.10000610351562
ln(PM2.5),3660,3.76929561029868,0.3995504767727464,2.5494451858267326,3.763523050214535,4.956531078055311
ln(人均GDP),2894,6.0165251618200495,0.7047742615978968,3.9501015637564776,5.938358118638496,8.579888411696173
第二产业比重(%),2893,47.04945039751124,10.939179800682677,10.6,47.53,89.75
第三产业比重(%),2893,41.15165226408572,10.516666245298422,9.76,40.07,83.52
