model,coef_treat_post,se,p_value,ci_low,ci_high,r_squared,n_obs,n_city
with_controls,-0.0007335033992933448,0.007110770519824961,0.9178408619319366,-0.014670357520479425,0.013203350721892736,0.9730257822231856,2892,296
gdp_only,-0.002205942411836373,0.007188254476908295,0.7589335608244995,-0.016294662298285436,0.01188277747461269,0.9725716785070929,2892,296
no_controls,-0.02004575065914513,0.0073223857280529814,0.006188962241775992,-0.034397362967039075,-0.005694138351251182,0.9695506181373563,3660,366
