spec,coef,se,p_value,n_obs,n_city
baseline,-0.0007335033992933448,0.007110770519824961,0.9178408619319366,2892,296
drop_2013,0.005191924610883612,0.007410543043637499,0.483544410174656,2605,296
post_from_2015,-0.0032555784388395015,0.008177979422767347,0.6905632495762681,2892,296
jjj_yrd_only,0.0004490675771697955,0.00741169244712827,0.9516864757573467,2892,296
level_pm25,-1.302971766133545,0.6222800879179591,0.03627182605077584,2892,296
